task_id,lane_id,mode,path
GH-NF1-A01,GH-NF1-L-A,exclusive,docs/native_foundation_v1/baseline
GH-NF1-A01,GH-NF1-L-A,exclusive,docs/native_foundation_v1/controller
GH-NF1-A01,GH-NF1-L-A,exclusive,docs/native_foundation_v1/records/gh-nf1-a01.json
GH-NF1-A02,GH-NF1-L-A,exclusive,docs/native_foundation_v1/baseline
GH-NF1-A02,GH-NF1-L-A,exclusive,docs/native_foundation_v1/controller
GH-NF1-A02,GH-NF1-L-A,exclusive,docs/native_foundation_v1/records/gh-nf1-a02.json
GH-NF1-A03,GH-NF1-L-A,exclusive,docs/native_foundation_v1/baseline
GH-NF1-A03,GH-NF1-L-A,exclusive,docs/native_foundation_v1/controller
GH-NF1-A03,GH-NF1-L-A,exclusive,docs/native_foundation_v1/records/gh-nf1-a03.json
GH-NF1-A04,GH-NF1-L-A,exclusive,docs/native_foundation_v1/baseline
GH-NF1-A04,GH-NF1-L-A,exclusive,docs/native_foundation_v1/controller
GH-NF1-A04,GH-NF1-L-A,exclusive,docs/native_foundation_v1/records/gh-nf1-a04.json
GH-NF1-C01,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C01,GH-NF1-L-C,exclusive,src/core
GH-NF1-C01,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C01,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C01,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c01.json
GH-NF1-C02,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C02,GH-NF1-L-C,exclusive,src/core
GH-NF1-C02,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C02,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C02,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c02.json
GH-NF1-C03,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C03,GH-NF1-L-C,exclusive,src/core
GH-NF1-C03,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C03,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C03,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c03.json
GH-NF1-C04,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C04,GH-NF1-L-C,exclusive,src/core
GH-NF1-C04,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C04,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C04,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c04.json
GH-NF1-C05,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C05,GH-NF1-L-C,exclusive,src/core
GH-NF1-C05,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C05,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C05,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c05.json
GH-NF1-C06,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C06,GH-NF1-L-C,exclusive,src/core
GH-NF1-C06,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C06,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C06,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c06.json
GH-NF1-C07,GH-NF1-L-C,exclusive,include/GlassHelix/core
GH-NF1-C07,GH-NF1-L-C,exclusive,src/core
GH-NF1-C07,GH-NF1-L-C,exclusive,tests/native_foundation/core
GH-NF1-C07,GH-NF1-L-C,exclusive,docs/native_foundation_v1/contracts
GH-NF1-C07,GH-NF1-L-C,exclusive,docs/native_foundation_v1/records/gh-nf1-c07.json
GH-NF1-B01,GH-NF1-L-B,exclusive,cmake/GlassHelixFoundation.cmake
GH-NF1-B01,GH-NF1-L-B,exclusive,CMakePresets.json
GH-NF1-B01,GH-NF1-L-B,exclusive,tests/native_foundation/build
GH-NF1-B01,GH-NF1-L-B,exclusive,docs/native_foundation_v1/build
GH-NF1-B02,GH-NF1-L-B,exclusive,cmake/GlassHelixFoundation.cmake
GH-NF1-B02,GH-NF1-L-B,exclusive,CMakePresets.json
GH-NF1-B02,GH-NF1-L-B,exclusive,tests/native_foundation/build
GH-NF1-B02,GH-NF1-L-B,exclusive,docs/native_foundation_v1/build
GH-NF1-B03,GH-NF1-L-B,exclusive,cmake/GlassHelixFoundation.cmake
GH-NF1-B03,GH-NF1-L-B,exclusive,CMakePresets.json
GH-NF1-B03,GH-NF1-L-B,exclusive,tests/native_foundation/build
GH-NF1-B03,GH-NF1-L-B,exclusive,docs/native_foundation_v1/build
GH-NF1-B04,GH-NF1-L-B,exclusive,cmake/GlassHelixFoundation.cmake
GH-NF1-B04,GH-NF1-L-B,exclusive,CMakePresets.json
